direction,sample_n,T4_median,U4_median,eta4_median,T8_median,U8_median,eta8_median,T16_median,U16_median,eta16_median,T32_median,U32_median,eta32_median
AG1_TO_AG2,100,0.027657729020527135,0.08810218269372813,0.31951895080424997,0.0429841637239973,0.13233112019791593,0.33051370376808586,0.06828977984330954,0.1787164456972156,0.3804210794033016,0.11158548398279458,0.21315418577988948,0.5297161458095139
AG1_TO_AG2,128,0.029981731441740322,0.09672603315927553,0.3091268018836627,0.04666982811227147,0.14689874381262985,0.31762361672029854,0.07305333109515724,0.20130902111909182,0.36212495021481445,0.11447738249848843,0.24350140514610635,0.468672858562042
AG1_TO_AG2,160,0.03374791013125538,0.10424362703826012,0.3282053075840711,0.0528902252348317,0.15796398716722843,0.33651814573256045,0.0780147327757409,0.21860923500948304,0.3545718957561098,0.11668096489569868,0.2683530715443867,0.4359692960529383
AG1_TO_AG2,192,0.036707442900389256,0.11036212227006345,0.33492671626600656,0.05739377024195376,0.16808935436546862,0.3418042267475677,0.08455764334605034,0.23449817306422632,0.3642365026089886,0.12379932256425522,0.2900822368350266,0.424089796109404
AG1_TO_AG2,224,0.038628755564882766,0.11580003085287939,0.33237874501239784,0.061569667233972704,0.1761667733714059,0.34849416855957455,0.08710241641251054,0.24770332103206744,0.35146388820430885,0.1269650989555263,0.30909719105412936,0.410134036855169
AG1_TO_AG2,256,0.04068698624580171,0.1194539723564881,0.34117041746989707,0.06627068967299496,0.18200010871645927,0.3651931696709805,0.09430833077617272,0.25724796417127055,0.3663784333536591,0.13331201278662902,0.32401364318268944,0.41093084556273457
AG1_TO_AG2,288,0.04240213993772109,0.12294998908845978,0.344883229221858,0.06953335589986467,0.1880474204886892,0.36965903006227174,0.09906896021843764,0.2669902903223992,0.37168241663295076,0.13848291538569937,0.338270930703471,0.4093802787904187
AG1_TO_AG2,320,0.043372283790076974,0.12576725619343618,0.3448614933871841,0.07186182031472733,0.19281014659974816,0.37270766908291536,0.10394360785926243,0.2748026819158097,0.3782481565849756,0.1422658760871597,0.35050624753267123,0.40588684820489224
AG2_TO_AG1,100,0.026456032444843014,0.11296206383441573,0.23767267682863358,0.04761793783524297,0.1645618786753363,0.29188461191116766,0.08236366526198222,0.21108197932282788,0.3919492427841498,0.13459135112363768,0.23934072490341274,0.5635509267966591
AG2_TO_AG1,128,0.02943349856846727,0.12252871067672749,0.24322566431580192,0.052180437771838645,0.18059862291664763,0.2908160161259792,0.08613558434853269,0.23411843970902568,0.367313149343181,0.13446110845885623,0.26750013972273967,0.5015631660879791
AG2_TO_AG1,160,0.03567997013196715,0.13388632148653615,0.26430514120365634,0.060916962057446414,0.19732490198052616,0.3087699195074834,0.09348649453875693,0.25773977674072784,0.3598918881322145,0.1409740789430582,0.2978001518769945,0.47147569968615055
AG2_TO_AG1,192,0.0357248769411308,0.14174809592405796,0.2509831449314155,0.06150616693132843,0.21016279058427667,0.2912952649031798,0.09859143109325952,0.2764246007602356,0.35652852295392157,0.1473833872564489,0.32192999365749164,0.4591605796897359
AG2_TO_AG1,224,0.03962458476139709,0.1474078107551,0.27111565942113774,0.06903298213131498,0.2200823679481927,0.31463092657182623,0.10780144839311112,0.2916254296569367,0.3699825893937866,0.15629794111188122,0.3419177914301448,0.4540867805025493
AG2_TO_AG1,256,0.04193269051229092,0.15236555728304046,0.27641591628627205,0.07138312575092798,0.2277232023504086,0.31343227182649214,0.11236213247538425,0.30379485486234603,0.368383181984028,0.15915905349551218,0.35843854780200546,0.445276964164223
AG2_TO_AG1,288,0.04507662612036912,0.15734515357063938,0.2867912960478733,0.0755435746049761,0.23552547239392635,0.3212453260810551,0.11909539913476924,0.31546111806392335,0.3771235107841025,0.16492110698185872,0.3741805575150827,0.44024622609170405
AG2_TO_AG1,320,0.048122246470417754,0.1611130963802745,0.2986861251603969,0.079595337912859,0.2419261350666447,0.3290067767623884,0.12500035735220155,0.3255637732699081,0.3839504503118356,0.169529540945841,0.3877355394241713,0.43722982215561274
