L,dimension,lambda1,lambda1_gain_vs_L0,lambda1_relative_increment_vs_previous_report,euclidean_norm_squared,task_rayleigh_euclidean,task_rayleigh_fraction_of_GT_max,attention_rayleigh_euclidean,attention_rayleigh_over_mean_GA,ga_leakage_norm,lambda_times_ga_leakage_norm,full_space_generalized_residual,closed_form_leakage_normalized_residual,exact_minus_closed_form_normalized_residual_abs,attention_fraction,ridge_fraction,complement_euclidean_fraction,certified_full_space_eigenpair
0,320,2483.120106284828,1.0,,14829.489927890903,0.16744474141451374,0.23879826010817254,6.743155337955703e-05,4.088485617105365,0.020958584124556347,52.04268163894787,0.6005046694538756,0.6005046694538756,0.0,0.9999755416641927,2.4458335807285345e-05,0.0,False
1,328,6481.866711046214,2.6103718038609873,1.6103718038609873,41312.70050495576,0.1568976763034086,0.2237567558094821,2.4203982082490914e-05,1.46752710951103,0.014708729460496828,95.34002385177912,0.6373016212698378,0.6373016212698378,0.0,0.9999318628012852,6.813719871481324e-05,0.059588239836395857,False
2,336,7050.795302414281,2.8394902383370715,0.08777233731118139,50605.911068412795,0.1393275045059953,0.19869937616542777,1.975888812911438e-05,1.1980137765945198,0.013793112501794913,97.25241283332726,0.6391886877676989,0.639188687767699,1.1102230246251565e-16,0.9999165354727126,8.346452728741408e-05,0.06854715974496992,False
4,352,11421.533003447637,4.599669977517198,0.6198928650696698,85684.45666945032,0.13329760667689264,0.19009994749388065,1.1669078840602195e-05,0.7075153783886334,0.011442306928916894,130.6886862242019,0.6503898496568111,0.6503898496568109,2.220446049250313e-16,0.9998586802900925,0.00014131970990754596,0.11759827894386553,False
8,384,19303.956236415106,7.774072702949968,0.6901370622129381,166013.9589932301,0.11627911504238209,0.16582933643941877,6.021940556022832e-06,0.3651201272463489,0.008723609211279796,168.40017043813288,0.6569953042765929,0.6569953042765929,0.0,0.9997261925273562,0.0002738074726438826,0.19344092322468354,False
12,416,29098.221728435426,11.71841090359956,0.507370891856062,281178.0973383797,0.10348680072835685,0.14758581099251383,3.5548154757587994e-06,0.21553428944897446,0.00709324416718553,206.40079155069583,0.6560206552086179,0.6560206552086179,0.0,0.9995362518630244,0.00046374813697551106,0.2838321615534096,False
16,448,37385.55806016779,15.05587988496576,0.2848055942756733,401519.3640035847,0.09311022434234084,0.1327874460756602,2.4888906043680077e-06,0.15090551720245904,0.005887297465278079,220.09990120563225,0.6398002628860521,0.6398002628860522,1.1102230246251565e-16,0.9993377725406819,0.0006622274593180994,0.35177524044146585,False
